,means,variances,residual_variances,highly_variable_rank,highly_variable_nbatches,highly_variable_intersection,highly_variable
MIR1302-2HG,4.074040215745271e-05,4.073876261749416e-05,0.1013904037230592,17871.0,10,False,False
FAM138A,1.490502517955587e-06,1.4905010368896805e-06,0.005468016120691994,,0,False,False
OR4F5,2.782271366850429e-05,2.782195338800565e-05,0.05859816812164053,17358.5,6,False,False
AL627309.1,0.007809736359914624,0.008256513004470004,1.0164789382798243,13797.5,162,False,True
AL627309.3,0.0002613347748148796,0.00026126660875653256,0.48288315428741213,14158.0,67,False,False
AL627309.2,1.291768848894842e-05,1.2917528040141884e-05,0.048280584769785403,15201.0,7,False,False
AL627309.5,0.01995534454456205,0.021519634442330956,0.9879405842453017,15672.5,148,False,False
AL627309.4,0.0002280468852472048,0.00023495067501398296,0.500145404701078,11145.0,81,False,False
AP006222.2,0.00024692658380797556,0.00025183407791647626,0.33897661185094935,15912.0,29,False,False
AL732372.1,1.3911356834252145e-05,1.3911170219947929e-05,0.058597592181538025,14131.0,8,False,False
OR4F29,4.968341726518623e-07,4.968341726518624e-07,0.002481256850336132,,0,False,False
AC114498.1,7.502196007043121e-05,7.50163690466339e-05,0.22732135456363206,13979.0,30,False,False
OR4F16,0.0,0.0,0.0,,0,False,False
AL669831.2,0.0005465175899170485,0.0005561558682112464,0.7224715504986462,12413.0,108,False,False
LINC01409,0.12643883176399978,0.186007705973627,1.0011245212728874,17578.0,173,False,True
FAM87B,0.0005718561327222936,0.0005824597544700185,0.7649543467969313,12042.0,111,False,False
LINC01128,0.1106578879380587,0.15928392807805336,1.0229609899758458,15919.0,164,False,True
LINC00115,0.008002508018903547,0.008230610467077223,1.060324478187521,14972.0,187,False,True
FAM41C,0.009457238476428199,0.009840790138429511,0.8248362431966558,16259.5,78,False,False
AL645608.6,0.0010329182449432218,0.0010725922599003975,1.2126786160969822,8757.0,201,False,True
AL645608.2,0.0008431275909902104,0.0008612968533380268,1.047755492917523,8454.0,165,False,True
AL645608.4,1.093035179834097e-05,1.0930237756266174e-05,0.04022760941304773,17541.5,6,False,False
LINC02593,0.0005365809064640113,0.0005740526697253617,1.4806583004418372,4978.0,217,False,True
SAMD11,0.003034663126557575,0.003436834348758458,2.3550585990839332,3533.5,310,False,True
NOC2L,0.04957610108389343,0.05617761350035595,1.2868378384907933,13715.5,316,False,True
KLHL17,0.012926631504056154,0.013685639399332355,0.9891716536723926,15162.0,156,False,False
PLEKHN1,0.0006404192485482506,0.0006767751767556066,0.6689830631165798,11123.0,98,False,False
PERM1,0.0003671604535897263,0.000381930861726901,0.510440905797931,12084.0,69,False,False
AL645608.7,0.0018666059866530467,0.001988324968119698,1.2976662639256402,7501.0,225,False,True
HES4,0.08380996291629736,0.13796906260535557,1.4990253086267264,9052.0,302,False,True
ISG15,0.027039206178232304,0.06930812591681995,1.9784155873636249,4782.0,319,False,True
AL645608.1,0.0015421732719113808,0.0016023968753903534,0.6689177599406626,12457.0,73,False,False
AGRN,0.06025455795669991,0.07427252658431939,1.2298941777085646,13459.0,314,False,True
AL645608.5,1.3414522661600283e-05,1.341434937688923e-05,0.04337626146926687,14154.0,5,False,False
AL645608.8,4.074040215745271e-05,4.073876261749416e-05,0.08809024969855525,14263.0,6,False,False
RNF223,8.843648273203149e-05,8.842870565495624e-05,0.2319052802635739,14402.0,29,False,False
C1orf159,0.17107987901094227,0.27483009726610064,1.1843114853280512,15083.0,325,False,True
AL390719.3,0.01567064663961239,0.017745301876267012,1.128616255510599,10991.5,200,False,True
LINC01342,0.00021562603093090826,0.00021856064997000335,0.5070116850622696,13927.0,74,False,False
AL390719.2,2.136386942403008e-05,2.1363423623192205e-05,0.1088398472265811,15063.0,21,False,False
TTLL10-AS1,9.63858294944613e-05,9.737025598850861e-05,0.2980905559412121,13667.0,41,False,False
TTLL10,0.0007969220129335872,0.0008260973890314352,0.9847329108547623,8593.0,147,False,False
TNFRSF18,0.0027927048844761182,0.0029339573933903716,1.0445429223838498,7863.0,145,False,False
TNFRSF4,0.0019431184492414335,0.0021629191922390295,0.9959146768828886,9718.0,159,False,False
SDF4,0.10102626066702969,0.12597202929348472,1.0928172597210724,16501.0,271,False,True
B3GALT6,0.015211075029909418,0.016125405840126245,1.6451795291989457,7656.0,310,False,True
C1QTNF12,0.0013007118640025756,0.001336780073928961,1.0684550130441661,9006.0,169,False,True
